City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rayagada,IN,2021-04-25 23:47:09,19.1667,83.4167,76.73,70,8,2.93
68,Cape Town,ZA,2021-04-25 23:35:14,-33.9258,18.4232,62.6,94,75,4.61
69,Kavaratti,IN,2021-04-25 23:47:09,10.5669,72.642,83.73,73,3,8.39
70,Mataura,NZ,2021-04-25 23:47:10,-46.1927,168.8643,48.0,90,78,11.01
71,Yellowknife,CA,2021-04-25 23:45:12,62.456,-114.3525,10.0,72,90,13.8
72,Qaanaaq,GL,2021-04-25 23:38:01,77.484,-69.3632,28.38,69,12,7.94
73,Harrison,US,2021-04-25 23:38:40,30.4091,-89.0436,75.2,53,1,6.91
74,Kieta,PG,2021-04-25 23:38:50,-6.2167,155.6333,84.07,67,87,3.76
75,Kimbe,PG,2021-04-25 23:47:11,-5.5502,150.1429,78.01,88,96,3.78
76,Tiksi,RU,2021-04-25 23:38:31,71.6872,128.8694,27.45,95,100,5.17
77,Iqaluit,CA,2021-04-25 23:47:11,63.7506,-68.5145,33.8,86,75,3.44
78,Ulaanbaatar,MN,2021-04-25 23:47:11,47.9077,106.8832,30.2,80,75,15.66
79,Najran,SA,2021-04-25 23:46:57,17.4924,44.1277,77.0,44,40,5.3
80,Bengkulu,ID,2021-04-25 23:37:36,-3.8004,102.2655,76.21,86,62,4.09
81,Ofaqim,IL,2021-04-25 23:47:12,31.3141,34.6203,72.0,36,0,5.01
82,Mahebourg,MU,2021-04-25 23:37:15,-20.4081,57.7,77.0,88,75,14.97
83,Butaritari,KI,2021-04-25 23:37:14,3.0707,172.7902,83.05,74,14,11.61
84,Vestmannaeyjar,IS,2021-04-25 23:45:40,63.4427,-20.2734,44.02,80,1,8.57
85,Castro,BR,2021-04-25 23:47:13,-24.7911,-50.0119,59.34,91,71,3.2
86,Khatanga,RU,2021-04-25 23:37:34,71.9667,102.5,7.86,94,67,11.25
87,Beisfjord,NO,2021-04-25 23:47:13,68.3751,17.5988,32.0,93,90,4.43
88,Marsh Harbour,BS,2021-04-25 23:34:50,26.5412,-77.0636,79.34,73,0,10.94
89,Magistralnyy,RU,2021-04-25 23:47:14,56.1725,107.4458,34.05,78,94,6.02
90,Labuan,MY,2021-04-25 23:47:14,5.2767,115.2417,80.6,89,40,4.74
91,Sao Filipe,CV,2021-04-25 23:47:15,14.8961,-24.4956,72.05,71,84,8.84
92,Kuusamo,FI,2021-04-25 23:47:15,65.9667,29.1833,30.2,86,90,9.22
93,Bukachacha,RU,2021-04-25 23:47:15,52.9833,116.9167,45.01,40,100,8.75
94,Beringovskiy,RU,2021-04-25 23:37:56,63.05,179.3167,31.64,91,96,1.68
95,La Asuncion,VE,2021-04-25 23:39:26,11.0333,-63.8628,82.4,69,31,20.71
