City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
615,Balikpapan,ID,77.32,-1.2675,116.8289,ibis Balikpapan
621,Nayagarh,IN,76.03,20.1333,85.1,Mission studies boys hostel
623,Dawei,MM,77.49,14.0833,98.2,Hotel Dawei
625,Praia,CV,71.6,14.9215,-23.5087,LT Aparthotel
638,Ibotirama,BR,75.2,-12.1853,-43.2206,Serra do Rio Hotel
645,Nioro,GM,79.41,13.35,-15.75,
648,Asaba,NG,78.31,6.2006,6.7338,Crimson Suite Hotels
655,Omboue,GA,78.91,-1.5746,9.2618,Hotel Olako
658,Atambua,ID,76.08,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
662,Somerset East,ZA,71.08,-32.7217,25.588,Mbali Lodge
664,Jieshi,CN,71.24,22.8134,115.8257,Yuehai Hotel
670,Pangoa,PE,72.01,-12.1167,-73.0,
671,Charleston,US,73.4,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
674,Paita,PE,71.01,-5.0892,-81.1144,Hotel Náutico de Paita
678,Caravelas,BR,76.05,-17.7125,-39.2481,Pousada dos Navegantes
682,Businga,CD,70.14,3.3333,20.8833,
685,Barillas,GT,77.0,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
690,Andros Town,BS,78.8,24.7,-77.7667,Hanks place
698,Port Macquarie,AU,70.0,-31.4333,152.9167,Rydges Port Macquarie
701,Kupang,ID,78.04,-10.1667,123.5833,Hotel On The Rock by Prasanthi
702,Saint-Pierre,RE,77.0,-21.3393,55.4781,Lindsey Hôtel
703,Marawi,PH,79.0,7.9986,124.2928,Derogongan Residence
713,Raga,SS,72.34,8.4596,25.678,
717,Springdale,US,73.4,36.1867,-94.1288,Springdale Inn
718,Santa Isabel Do Rio Negro,BR,76.15,-0.4139,-65.0192,Hotel GSA
719,Bambanglipuro,ID,77.85,-7.95,110.2833,Puri Brata
